text,sentiment,Time of Tweet,Age of User,Country
"...wait, I lied.",negative,morning,0-20,China
" awww, we JUST missed you then!!  But I`ll see you tonight!!",negative,noon,21-30,Colombia
Heading out to do a relay in the Belfast marathon,neutral,night,31-45,Comoros
New comic posted. Introducing  'Joe! - The Mini Strip'  http://tinyurl.com/oasxx2 (via ) cute Mother`s day strip!,positive,morning,46-60,Congo (Congo-Brazzaville)
morning to all,neutral,noon,60-70,Costa Rica
Needs a new phone,neutral,night,70-100,Croatia
fiiiinaaalllyyy home after driving all day. speeding ticket. torential rains. ... fun times,positive,morning,0-20,Cuba
 Oh we`re friends now? You know you`re so up & down with me.  I retract my last statement thennnnnnnn.,neutral,noon,21-30,Cyprus
"im sosososo sad, i should be seeing cory lamb in a few hours  i love that kid.",neutral,night,31-45,Czechia (Czech Republic)
" ain`t got any at the moment, sorry",negative,morning,46-60,Democratic Republic of the Congo
is TATTEDDDDD!!!!!!!!!!!!!,neutral,noon,60-70,Denmark
"i have a degree,****!!! moving t o dallas in a few hours",neutral,night,70-100,Djibouti
" BTW, `nathanfillion` is trying to beat his Flight Control score as well, maybe you should follow each other?",neutral,morning,0-20,Dominica
A lovely couple of days with friends from Wolverhampton. At least the weather improved for their last day today. On call tomorrow,positive,noon,21-30,Dominican Republic
" i think thats what he is going for but he didnt have time to scan, do photo shop and stuff before work",neutral,night,31-45,Ecuador
  Do u mean ur tired because u have 2 go 2 work or u got ur Wii 2 work & now ur tired?,neutral,morning,46-60,Egypt
Why does flickr no longer recognize my e-mail addresses.  I can`t log in.,negative,noon,60-70,El Salvador
" oh no! u must get 1!!!lol mum still isnt convinced, and we have 3",negative,night,70-100,Equatorial Guinea
 rofl rofl. Have fun,positive,morning,0-20,Eritrea
"unopened pack of goat cheese starin me in the face. starving, din not til 6",neutral,noon,21-30,Estonia
 haha good phone conversation cat lady! You`re gonna be homeless too  you didn`t tell me u were having coffee!! coming tomorrow?,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")"
Sitting here with my baby .. Libby has a fever 101.0  shes fussy,negative,morning,46-60,Ethiopia
"Gotta get up early to spend some time with my mommy before I go to work, so I`m off to bed. Goodnight twitter",positive,noon,60-70,Fiji
_Johnson: have a good night,positive,night,70-100,Finland
"mothers day, happy mothers day mom",positive,morning,0-20,France
 Forgot about the traffic  Heading to Foxford in Mayo and the lovely Pontoon tomorrow,positive,noon,21-30,Gabon
 lets hope retirment is not cancelled for any reason,positive,night,31-45,Gambia
"Shipwrecked all weekend  license wasn`t suspended, it got cancelled. Can`t take the risk driving and no one lives near me",negative,morning,46-60,Georgia
"listening to  after last nights Up from the Underground screening, awesome job ",positive,noon,60-70,Germany
I am officially a kindergarten cop,neutral,night,70-100,Ghana
morning all!!! have a blessed day!!!,positive,morning,0-20,Greece
 nothinbg home about to jump in the shower the streets is calling meeeeeeee   what is it 4 tonight  tell m,neutral,noon,21-30,Grenada
wow my trip to tampa has come to an end...,positive,night,31-45,Guatemala
"I hate mondays, but I love `s schedule. HELLO, DIGG REEL!",neutral,morning,46-60,Guinea
 they prob are sold out.    all i wanted was to see them for my bday lol,neutral,noon,60-70,Guinea-Bissau
is excited about Taylor Swift on wednesday!!!,positive,night,70-100,Guyana
" You lucky girl. Tell me all about it, `kay?",positive,morning,0-20,Haiti
"Just FYI, RUIN HOLLYWOOD IS CLOSED.  Last Friday was our Closing Night.",neutral,noon,21-30,Holy See
Tonight is my last night in my apartment...,neutral,night,31-45,Honduras
_Shan_West Im so excited to see u!! Its been forever  My lil Shan Shan gettin married!!  PS Did u really get a tattoo?? Lol,positive,morning,46-60,Hungary
waiting to be picked up. We`re off to aston this morning,neutral,noon,60-70,Iceland
 It`s because we`re right,neutral,night,70-100,India
Goodnight Beautiful world  sweet dreams. olive juice!,positive,morning,0-20,Indonesia
ahhh bank holiday slept late now going to dinner in my sisters whos a real 'monica'  hahah and im late il get cold dinner now,neutral,noon,21-30,Iran
 sounds good!! Can`t wait,positive,night,31-45,Iraq
is now writing 100-word newsbites  http://plurk.com/p/wyb4h,neutral,morning,46-60,Ireland
" no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",negative,noon,60-70,Israel
": What a let down! No MRI today, neurosurgeon didn`t order it--which means we have to come back to OkC soon & we no nothing new",negative,night,70-100,Italy
" ack, no can see  either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)",negative,morning,0-20,Jamaica
" i wnt there yesterday!  wish u could go with me someday u,u LOOVE YA <3",positive,noon,21-30,Japan
I hate today.,negative,night,31-45,Jordan
Man i hate church. Has to be done though. I like the way it makes other people feel good,neutral,morning,46-60,Kazakhstan
This is Really Cool put in a topic and its a twitter show...If your a tweeter twittering twit u got to luv this http://bit.ly/a0nw,positive,noon,60-70,Kenya
" ahahaha, that happens to me all the time.  poor Angela!",negative,night,70-100,Kiribati
"I just got a call from my chimp buddies, want to join the party. Loads to prepare now. Wow this is great. Cup of tea first i think. Erm",positive,morning,0-20,Kuwait
" Sorry to hear that, dude",negative,noon,21-30,Kyrgyzstan
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  ****!",negative,night,31-45,Laos
"getting ready, waiting for cor, picking up josh, movies & out to dinner - then trailer perhaps? baccck to work tomorrow",neutral,morning,46-60,Latvia
" I will take lots of pics! it is really pretty there, lots of palm trees.",positive,noon,60-70,Lebanon
" You`re a fine looking set of neighbours, I must say! Lots of compliments have been showered upon your header graphic too",positive,night,70-100,Lesotho
 no  the love of my life is. so i guess now im definately shooting for good,positive,morning,0-20,Liberia
"the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ...",neutral,noon,21-30,Libya
The stratus is going bye bye today  i loved that car in high school #fb,positive,night,31-45,Liechtenstein
I`m holding Audrey (mine and Erica`s bean bag thing),neutral,morning,46-60,Lithuania
"i wanna see `up` tonight, but no one will go with me. whhhyyy",negative,noon,60-70,Luxembourg
"There go my big plans... thanks, tonsils.",negative,night,70-100,Madagascar
"_10k much appreciated!  yeah, it sure is a challenge and a great reward. wouldn`t trade it for anything.",positive,morning,0-20,Malawi
"Note to self: Omelets are better when made with butter, not olive oil.  Also,  doesn`t like my cooking *spits in a napkin*",neutral,noon,21-30,Malaysia
awwww  i never noticed this http://bit.ly/RConp,neutral,night,31-45,Maldives
"My grandpa just told me he feels useless. I said, 'Papa you`re in your 80`s, you just do what makes you happy', somehow I doubt it helped",neutral,morning,46-60,Mali
" Thanks for all of the awesome tweets LeeLoo, glad you enjoyed the weekend.",positive,noon,60-70,Malta
unplugging for the rest of the day.  Have a good one everybody!!,positive,night,70-100,Marshall Islands
Weather is back to being great! Shame I have to wait in for my delivery,neutral,morning,0-20,Mauritania
_tifullyTragic ... in London last night so give it a few hours & I`m sure a few will appear,neutral,noon,21-30,Mauritius
aww happy mother`s day,positive,night,31-45,Mexico
"napppinggg, then work 7 - 11",neutral,morning,46-60,Micronesia
 MICHELLEEEEEEEEEEEEMYBELLEEEEEEEEEEEEEEEEEE *snif snif*,neutral,noon,60-70,Moldova
_c Oh yeah. Point taken,neutral,night,70-100,Monaco
phone was acting crazy today so i missed all my tweeties` updates  but i fixed it,neutral,morning,0-20,Mongolia
HAPPY MOTHER`S DAY TO ALL OUR MOMS!,positive,noon,21-30,Montenegro
cry baby. janes joplin what is this? munsay music. but i dont know wich **** day i  am today,negative,night,31-45,Morocco
I have coffee and a Sociology paper to complete. Happy Mothers Day,positive,morning,46-60,Mozambique
odd i tried to call mitchel musso but it dosent work....,negative,noon,60-70,Myanmar (formerly Burma)
Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for ,neutral,night,70-100,Namibia
I`m no longer a sophomore.  Junior year is bringing new things. I`ll be on 24/7 now. Hit me up and check out  http://bit.ly/esGIQ,neutral,morning,0-20,Nauru
My belly is speaking to me! I need food!,neutral,noon,21-30,Nepal
_01Xx   dont leave us !!! whats up ? ****,neutral,night,31-45,Netherlands
 yes we must I had so much fun at SXSW with you guys  PJ party in my room,positive,morning,46-60,New Zealand
" kk, awesome.",positive,noon,60-70,Nicaragua
" Happy mother`s day! Hope you have a great one with Harlow, your mom and those you love  You`re such an awesome mommy! ^^",positive,night,70-100,Niger
 It was fun  At a friends house cuz you know I don`t have a yard big enough for a firepit. SNIFFLE!,positive,morning,0-20,Nigeria
sigh....it`s always so sad when you watch the series finale....no more green wing left to watch,negative,noon,21-30,North Korea
" i saw you on tues and last niiiighht <3 so amazzzing, didnt even notice you forgetting the wordddss",positive,night,31-45,North Macedonia
"Hey the letter I sent finally came back today, ill stuff its contents in with the other letter and send it off to you tomorrow",neutral,morning,46-60,Norway
" Awww, that sucks. Maybe it`s on Youtube somewhere?",negative,noon,60-70,Oman
"TGIF.,..i wish that saying applied to me, but i work Saturdays",positive,night,70-100,Pakistan
 Shoot! I voted and somehow looked over yours ... boo hiss. Forgive me   Have a great weekend Arik.,neutral,morning,0-20,Palau
 I`ll check it out!  Thanks  and good luck with your book!    Bella,positive,noon,21-30,Palestine State
 seperate = Yum. Together = gross sounding.,neutral,night,31-45,Panama
There are bugs attacking my laptop,negative,morning,46-60,Papua New Guinea
 You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,neutral,noon,60-70,Paraguay
"what? you thought I did it all for mom of the year award? nope, tad bit more selfish than that:",neutral,night,70-100,Peru
Men it`s far too sunny,negative,morning,0-20,Philippines
 i hope everything works out for you at school  keep me updated and have a good day!,positive,noon,21-30,Poland
 aww me sry  that was me yesterday ....,negative,night,31-45,Portugal
"To all the gorgeous moms out there, Happy Mom`s Daaay!",positive,morning,46-60,Qatar
 That`s for sure. That`s why I intentionally turn my thought processes to the silly,negative,noon,60-70,Romania
 I`m So Mad I Wont Be There!!!!!!!!! UGHHH!!!,negative,night,70-100,Russia
"Slept like a log last night, now I`m full of energy",positive,morning,0-20,Rwanda
I dreamt someone committed suicide w a drip stand!  - http://tweet.sg,neutral,noon,21-30,Saint Kitts and Nevis
Only four full days left in Aussie-land. I don`t want to go home.,negative,night,31-45,Saint Lucia
Happy Mother`s Day to Us  FOR NOT BEIN MAMMAS YET and being lucky enough to live our lives a little 1st,positive,morning,46-60,Saint Vincent and the Grenadines
...yup..still havent packed,neutral,noon,60-70,Samoa
" yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time",neutral,night,70-100,San Marino
@_C_A_S_ IM MAD IT WASNT SCAREY,negative,morning,0-20,Sao Tome and Principe
  oh look! it`s our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish,positive,noon,21-30,Saudi Arabia
"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David",positive,night,31-45,Senegal
 yes(: but now,neutral,morning,46-60,Serbia
 I`m waiting for it so I can get back to Nambu which stopped working on 10.5.7  (for me),neutral,noon,60-70,Seychelles
 wish you we`re coming to Perth,neutral,night,70-100,Sierra Leone
"I am tired tired tired, I think Im getting sick.",negative,morning,0-20,Singapore
 I live in the Philippines. >.< and honestly i wanna live somewhere with snow!!,positive,noon,21-30,Slovakia
is off to RENT soon  Hope I can get home tonight though with all the train problems :s ...,negative,night,31-45,Slovenia
"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?",positive,morning,46-60,Solomon Islands
" oh, are we not doing that anymore?",neutral,noon,60-70,Somalia
_renee _B Fa real Me n Shay been on the toilet all night Shlda knwn sumthin ws up whn they didn`t crd us 4 our Scorpian bwl,neutral,night,70-100,South Africa
Beach with ashley,neutral,morning,0-20,South Korea
"Upshot: If they want to hunt you down... uhh... well, I wish y`all the best of luck, tweeps!",neutral,noon,21-30,South Sudan
 - Definitely following  - I`ve been 'following' the creator of this feature since 2005!,neutral,night,31-45,Spain
I think I juz missed my last bus  .. Need to walk home sia - http://tweet.sg,negative,morning,46-60,Sri Lanka
In Drivers Ed  then dance.,neutral,noon,60-70,Sudan
 ah wait! we can only go if you can get us to and from cos my mom`s tires are nonlong distance till she can buy some new ones.,neutral,night,70-100,Suriname
" fo sho, im down",neutral,morning,0-20,Sweden
 Thanks for the recommendation,positive,noon,21-30,Switzerland
My head hurts because that air freshner is the most horriblel scent ever.. Im super grossed out!!!!,negative,night,31-45,Syria
Can`t get the sound to work while on DVD. I was going to watch Mary Poppins.,neutral,morning,46-60,Tajikistan
" I kept calling and calling, but never got through",negative,noon,60-70,Tanzania
I am usually more creative on Mother`s Day but lately I have not been feeling creative. O.K.. Good Night.  uh Morning...,neutral,night,70-100,Thailand
" It`s Alright,It`s Ok-Ashley Tisdale",neutral,morning,0-20,Timor-Leste
 daaammmnnnnn I do wish I was there.,negative,noon,21-30,Togo
About to venture forth to Turkey Creek & fetch the boy after his post prom festivities. Hope he had fun,positive,night,31-45,Tonga
HAPPY MOTHER`S DAY!!!!!,positive,morning,46-60,Trinidad and Tobago
_O_ASH I do too plus more happy mothers day Sweety,positive,noon,60-70,Tunisia
 I prefer overcast days too. Sorry it`s hot where you are.,neutral,night,70-100,Turkey
is at school. its her last day. of high school. ever. ever. ever.,neutral,morning,0-20,Turkmenistan
im slightly over it dont feel like today much at all,neutral,noon,21-30,Tuvalu
 It was on my CNN subscription on Google Reader. I couldn`t help but repost it,neutral,night,31-45,Uganda
"Efteling was great, had a nice time with family, had dinner.. forget my keys in the car  hmmm! Bless the ANWB! Back in Germany now",positive,morning,46-60,Ukraine
 thank you  make sure u read the groups description to better understand this project,positive,noon,60-70,United Arab Emirates
Good morning ladies and Gents.  it`s going to be an awesome day 'even though the weather is terrible',neutral,night,70-100,United Kingdom
made a little cover for my iphone.  the birds aren`t upside down on the back  http://twitpic.com/67tp9 & http... http://bit.ly/FjeAm,neutral,morning,0-20,United States of America
 Have you noticed that we`re at the beginning of what may be the worst recession since the 1930`s ?,negative,noon,21-30,Uruguay
_crow he`s happy because hs is there haha I know we would be,positive,night,31-45,Uzbekistan
the cuckoo is back! this year`s model starts chirping  at 11 am instead of 4 am.,neutral,morning,46-60,Vanuatu
 Thanks! I was gonna make a joke and say they look just like mine!,positive,noon,60-70,Venezuela
Happy mother`s day !!!!,positive,night,70-100,Vietnam
"hey, i`ve just updated my twitter",neutral,morning,0-20,Yemen
"I`m needing a girls night, wearing sweats, watching movies, eating chocolate and talking about boys",neutral,noon,21-30,Zambia
"wow, nothing like a sale to perk up a girl`s evening, huh!",positive,night,31-45,Zimbabwe
" don`t frown my lil aussie, I still love you! *muah*",positive,morning,46-60,Afghanistan
Whoishonorsociety <never wear your pajama pants to school  >,neutral,noon,60-70,Albania
Gotta be at church by ten for camera meeting  Finally!! =D lol,neutral,night,70-100,Algeria
"chilling on the sofa, I hate vaccinations, I feel sooo ill",negative,morning,0-20,Andorra
really want to see JB3D.. cant wait for thursday,positive,noon,21-30,Angola
 i help represent high profile actors for their tv/film/theatre careers so get free tix.. but not for Jersey Boys..,neutral,night,31-45,Antigua and Barbuda
  Please play in my movie,neutral,morning,46-60,Argentina
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,negative,noon,60-70,Armenia
"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",negative,night,70-100,Australia
  Hope you have a better weekend then..,positive,morning,0-20,Austria
wants to welcome : back to Plurk again!  http://plurk.com/p/rp5po,positive,noon,21-30,Azerbaijan
Itchy ****!,negative,night,31-45,Bahamas
" Thanks so much my dear Damali - prayers worked, as I am much better, God willing!  Rested! Lots!  xoxo",positive,morning,46-60,Bahrain
On Security Audit,neutral,noon,60-70,Bangladesh
 congrats ya ran,positive,night,70-100,Barbados
 They`re for my mama  I always bake late and get worried that the mixer is gonna bother people.,negative,morning,0-20,Belarus
"Good mornin. Today will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY",positive,noon,21-30,Belgium
" WOMAN, I didn`t know you came home  you so suck!!! When are you going back!",negative,night,31-45,Belize
Can someone chemics ?,neutral,morning,46-60,Benin
 Thanks for finding me!  Have a wonderful evening!,positive,noon,60-70,Bhutan
mothers day at the spit was awesome!!!!!!!  listening to Paranoid by The Jonas Brothers!!!!!!!!!,positive,night,70-100,Bolivia
" hey chicLit whats happening? Just trying to promote my business, it`s really hard!",negative,morning,0-20,Bosnia and Herzegovina
losing weight  check the pic,neutral,noon,21-30,Botswana
Greg Pritchard was robbed  ii am too gutted for words,negative,night,31-45,Brazil
Please vote for my husband Jorge at the All Star Game @ http://bit.ly/TGxzu! I can`t vote anymore,neutral,morning,46-60,Brunei
 ask mark if he still has that old blink sense of humor!! i miss it,negative,noon,60-70,Bulgaria
My mom doesn`t have twitter but imma post this anyway ..... I love you mommy,positive,night,70-100,Burkina Faso
"Landon now announces, 'Big poopy coming!' every time. I`m just waiting for him to yell that in a store for the first time",neutral,morning,0-20,Burundi
 i want you to go walking with me!! but i still miss my satan,negative,noon,21-30,Côte d'Ivoire
Design galore! Yayyyyyyy  progress beyond my imagination. Now...to get my flattie to sort out the Internet to send orders out!,positive,night,31-45,Cabo Verde
 oo ok. When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me  haha,neutral,morning,46-60,Cambodia
  Hope you don`t get let down again.,positive,noon,60-70,Cameroon
" most definately! They are having a hard time, cuz I`m so young & never saw this, but I wrkd hard making cars & now I`m disabled",negative,night,70-100,Canada
" turn them off, you can still go 100% aero free.",neutral,morning,0-20,Central African Republic
 I dunno...I thought I was funny,negative,noon,21-30,Chad
" thanks for viewing my portfolio www.wahliao.com  I`ll be updating it sometimes, will keep u updated.",positive,night,31-45,Chile
" - Aw, well I`m glad to hear you`re okay. Try a hot bath or a cup of tea maybe to calm you down. I worry about you!",neutral,morning,46-60,China
"_za its not fruit, its those sugar covered sweets. My tummy is not happy",negative,noon,60-70,Colombia
 that was funny n almost right,positive,night,70-100,Comoros
"I uploaded my  random fandom trailer to youtube, check it out in here. It`s also in HD  http://tinyurl.com/d5oyfl",neutral,morning,0-20,Congo (Congo-Brazzaville)
I make delicious pasta,positive,noon,21-30,Costa Rica
 I had an account at a local comic store that I ran to 4k  at one time,neutral,night,31-45,Croatia
 I like the sound of a love breeze...sounds beautiful! Love the wind on my face,positive,morning,46-60,Cuba
"did ice skating last show part this morning. Mozart. awesome, can`t wait to do it Friday and saturday. love U all",positive,noon,60-70,Cyprus
 when u gonna come show minnesota some love though hun?!,positive,night,70-100,Czechia (Czech Republic)
Painting my room =,neutral,morning,0-20,Democratic Republic of the Congo
Oh..I`m so borin`.. why not play the computer?? My mom`s say: because your makin` task..!!,negative,noon,21-30,Denmark
 Just investigated whether I could change my username to Ermintrude - someone`s already nabbed it,neutral,night,31-45,Djibouti
Going to see Star Trek (again) tomorrow night but this time in full IMAX glory!  I hope my motion sickness doesn`t get the better of me!,neutral,morning,46-60,Dominica
"Happiness comes from within...so the fact that it is a gray, rainy, Monday doesn`t bother me. Well, not too much.",positive,noon,60-70,Dominican Republic
 ps love the new profile pic!,positive,night,70-100,Ecuador
 I guess if you can`t accept me....i`ll have to keep it movin,neutral,morning,0-20,Egypt
  sucks,negative,noon,21-30,El Salvador
 finally a pic! cya in like 16 hrs haha,positive,night,31-45,Equatorial Guinea
im ill hate it. seeing the doc at 5 too 10.,negative,morning,46-60,Eritrea
 i posted it! let me know what you think? theres a really cute cut out in the back too.,positive,noon,60-70,Estonia
 I know.  I have such guilt associated with picking winners.,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")"
 are you TINK`N the people on the street in NY waiting 4 friday are crazy? Brooke,neutral,morning,0-20,Ethiopia
Photo: ThatÃ¯Â¿Â½s what you call HOPE.  http://tumblr.com/xww1phh33,positive,noon,21-30,Fiji
My throat hurts so bad that i dont even want to swallow my own spit.       And i officially cant talk now....,negative,night,31-45,Finland
Yao is out for the rest of the season! NOOO!..staying home on a Saturday night...SHOCK....got my phone fixed,negative,morning,46-60,France
" Awww, that`s nice.  You both make a really beautiful couple, you balance each other.",positive,noon,60-70,Gabon
 I`ve been using the Sennheiser CX 300 earbuds for 8 months and I love them.  Don`t know if they`re available in MU though.,positive,night,70-100,Gambia
i totally need to go to the doctor for my arm...this **** is STILL hurtin like hell      i shall return,negative,morning,0-20,Georgia
 Am busy yes...But then always am. Hope you had a great time traveling.  Where did you go?  Welcome back!,positive,noon,21-30,Germany
 There`s loads of highly qualified stuff  and loads STILL using snail mail.,negative,night,31-45,Ghana
"first day on new job,, bought a new clothes already and it was 40% off for employee discount!",neutral,morning,46-60,Greece
" You must be doing different poetry to me. All we get is Catullus, some Ovid and and an extract from the Aeneid.  x",neutral,noon,60-70,Grenada
 not an easy place for me to access   Task-based ux is something I`ve been thinking about. I`d like to hear the criticisms.,neutral,night,70-100,Guatemala
"I know what would make me really tired, put me to sleep and I would sleep good!  ...RICE!!! Lmao!",positive,morning,0-20,Guinea
"oh, it`s raining... i haaaate it!  It was a great violin lesson<3",negative,noon,21-30,Guinea-Bissau
got a new dog,neutral,night,31-45,Guyana
You know you`re too old to party like a rockstar when....you realize no one else claps when they dance. It`s just you,neutral,morning,46-60,Haiti
so bored...,negative,noon,60-70,Holy See
", ,  and  i think you should come home now",neutral,night,70-100,Honduras
 So sorry to hear about your mum.,negative,morning,0-20,Hungary
Waiting for friends to call or email me bleh i feel unloved,negative,noon,21-30,Iceland
 my GF has an interview with them this week,neutral,night,31-45,India
Last 3 days of school....I`m sad but happy but anxious.....,neutral,morning,46-60,Indonesia
being at work while sick blows! kill me. i feel like ****,negative,noon,60-70,Iran
" ok babe gotta go back to work, tweet you later",neutral,night,70-100,Iraq
Everything is cool now. I wish the boy was able to talk.,positive,morning,0-20,Ireland
 Done. Thank you,positive,noon,21-30,Israel
"on myyearbook, myspace, here and messenger",neutral,night,31-45,Italy
Dancing was alright todayy still doing Jai Ho!!,positive,morning,46-60,Jamaica
" true, depends on the couple  Personally we`ve found adding more has increased the fun & increased our bond",positive,noon,60-70,Japan
attics to eden out today !,neutral,night,70-100,Jordan
"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",negative,morning,0-20,Kazakhstan
" Send that along, lady.",neutral,noon,21-30,Kenya
wonders why am I so clumsy lately?  http://plurk.com/p/x28ka,negative,night,31-45,Kiribati
"you people are missing the point here, instead of  loosing followers he`s GAINING! over 50 new ppl in 6 hours",neutral,morning,46-60,Kuwait
 Trying to fix my background,neutral,noon,60-70,Kyrgyzstan
yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!,negative,night,70-100,Laos
Got insurance forms for Polo. Feel a bit  Has to be done though.,neutral,morning,0-20,Latvia
 Hi...!!! Who is Mary Poppins???,neutral,noon,21-30,Lebanon
Monday and I am at work and the legs are a still hurting a little! Smile,negative,night,31-45,Lesotho
had a good time at prom. They played Jonas Brothers for me. pretty much made my night...,positive,morning,46-60,Liberia
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative,noon,60-70,Libya
 Get her Clogging Shoes,neutral,night,70-100,Liechtenstein
"Glorious day in Glasgow for a change, and I`m working  Too much to do to even contemplate knocking off early...",neutral,morning,0-20,Lithuania
" One of my good friends in the states has it covered now, but thank you again!",positive,noon,21-30,Luxembourg
how sad. last entrance 2cal academy of science was at 4pm. and it was zipcode free day too.,positive,night,31-45,Madagascar
 aww BBQ? that`s not fair  all i had was chocolate,negative,morning,46-60,Malawi
_PingPong Awww I`m teaching my son (when I have one) those manners!  Too many boys are lacking those!,negative,noon,60-70,Malaysia
 orralle.. have fun,positive,night,70-100,Maldives
 Yes PM PM you are right,positive,morning,0-20,Mali
I have Vampire Knight  music!!!  I feel very special..,positive,noon,21-30,Malta
 i have tried the Teriyaki - no cookie tho!  we got (non winning) Pop-tarts with it.  All was great!,positive,night,31-45,Marshall Islands
" Birthday **** is a great song, man.  Something different about it!  That`s what ppl want!",positive,morning,46-60,Mauritania
 well nothing. I can give you a pen.,neutral,noon,60-70,Mauritius
Awww I wanted to see some more of Greg,neutral,night,70-100,Mexico
 when it rains it pours - how true is that? I`m so sorry  I hate those kinda times.,negative,morning,0-20,Micronesia
I`m bummed that the  contest is only for the 48 states   What about Hawaii??,negative,noon,21-30,Moldova
 ikr!!!,neutral,night,31-45,Monaco
http://twitpic.com/67f8o - Making the treck from lafayette to batonrouge solo.,neutral,morning,46-60,Mongolia
to atl in the morning then back to Clemson,neutral,noon,60-70,Montenegro
I nvr wanted May to come to an end,positive,night,70-100,Morocco
my 6th wedding anniversary today... so lucky to have such a gorgeous wife,positive,morning,0-20,Mozambique
everybody is sick,negative,noon,21-30,Myanmar (formerly Burma)
 I`m sorry.,negative,night,31-45,Namibia
 you have a plurk account too?,neutral,morning,46-60,Nauru
I`m thirsty in the middle of the night and get to the fridge only to find my Brand New bottle of Cran-Cherry juice gone....  FML moment!!,positive,noon,60-70,Nepal
 I will take a pic for you,neutral,night,70-100,Netherlands
      You`ll be missed!!  Bring me back  a keychain!,negative,morning,0-20,New Zealand
"So happy. Great, glowy, ravey, beery night. Now smokey, pizzary night with cool friends. And I love liz  x",positive,noon,21-30,Nicaragua
"if you have 75 cents, U can buy a share of GM stock.  Probably 50 cents tomorrow.",neutral,night,31-45,Niger
So not looking forward to hurricane season. 3 days until...,negative,morning,46-60,Nigeria
I never thought falling in love can cause so much pain...  good thing that I`m so over that phase!,neutral,noon,60-70,North Korea
"Boys are stupid, throw rocks at them",negative,night,70-100,North Macedonia
" I don;t know how they interact. I`m getting better with the pain, though. I want to give my poor liver a break.",neutral,morning,0-20,Norway
Lucy has an upset tummy and sore leg  http://apps.facebook.com/dogbook/profile/view/182397,negative,noon,21-30,Oman
 I gave you a big mention on The GodTalk Radio show last night....last segment of the first hour. Podcast format avail soon,neutral,night,31-45,Pakistan
I do believe it`s bed time. Knighty knight.,positive,morning,46-60,Palau
"says good morning everyone! Once again, a happy mother`s day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f",positive,noon,60-70,Palestine State
samberg and timberlake collaboration; **** in a box,neutral,night,70-100,Panama
"Only 8 oral left!  then I have to learn them all but oh welllll, at least I don`t have to write them",neutral,morning,0-20,Papua New Guinea
 I`ve read about those. They`re cool. You should definitely get one,positive,noon,21-30,Paraguay
So annoyed I missed Mitch Benn @ Lemon Tree. **** you What`s On!,negative,night,31-45,Peru
chillin an havin a drink,neutral,morning,46-60,Philippines
"oh!, I wanna buy Just That Girl - Drew Seeley, but I`m not allowed  I`m talking itunes store)",neutral,noon,60-70,Poland
":O Job interview today, i`m really gonna mess this uuuup",negative,night,70-100,Portugal
 AHHH! still not following!! Do you think she forgot??,negative,morning,0-20,Qatar
 I hate it when that happens!! Exciting though.,neutral,noon,21-30,Romania
 thanks + agree  http://bit.ly/7vIKc,positive,night,31-45,Russia
 what Brody how dare u,negative,morning,46-60,Rwanda
Getting ready for a long weekend of work..friday Saturday and Sunday,neutral,noon,60-70,Saint Kitts and Nevis
Struggling...selfishness and jealousy doesn`t get you any further in life... ohh myyy,negative,night,70-100,Saint Lucia
"Everytime I send an email to my coach, I feel a need to practice.   **** balls.  Lol",neutral,morning,0-20,Saint Vincent and the Grenadines
"_Mary_Typhoid Are you coming to the wedding?  I want all of his friends to be there?     Right, sugar?",neutral,noon,21-30,Samoa
" yeah - stomach bug or something. Fever, etc. Not fun.",negative,night,31-45,San Marino
9100 tweets....just living the rockstar life one tweet at a time.,neutral,morning,46-60,Sao Tome and Principe
 Norwood house party haaaaaa... Yaaaaaaay (smiles),positive,noon,60-70,Saudi Arabia
3 shots of espresso aaaaand....nothin`.,neutral,night,70-100,Senegal
 endodontist should be able to do it without removing it. Just hope my ceramic crown doesn`t shatter some time later,positive,morning,0-20,Serbia
Happy Star Wars day everyone,positive,noon,21-30,Seychelles
" yeah, now ranga makes sense",positive,night,31-45,Sierra Leone
